%            DOF       Work Units       Drag-Error       Lift-Error
    2.048000e+03     2.307025e-01     1.637289e-02     1.465286e-13
    2.660000e+03     1.070280e+00     5.546276e-03     4.557573e-03
    3.468000e+03     2.282304e+00     2.359814e-03     1.243950e-04
    4.532000e+03     4.468059e+00     1.271294e-03     7.929386e-05
    5.928000e+03     8.013775e+00     8.076906e-04     1.220941e-06
    7.792000e+03     1.448154e+01     4.573015e-04     9.680111e-07
    1.020000e+04     2.471399e+01     3.559767e-04     8.065806e-07
    1.331200e+04     4.013937e+01     2.678480e-04     1.106935e-06
    1.740400e+04     6.136169e+01     1.806171e-04     2.245346e-06
    2.272000e+04     9.277289e+01     1.171867e-04     2.619945e-06
    2.964000e+04     1.345256e+02     8.300671e-05     6.222413e-09
    3.860400e+04     1.944247e+02     7.119042e-05     6.919930e-08
    5.031600e+04     2.770910e+02     5.175558e-05     3.626273e-08
    6.557200e+04     3.772837e+02     3.438945e-05     1.260778e-07
    8.540000e+04     5.339682e+02     2.412467e-05     3.621126e-08
