%            DOF       Work Units       Drag-Error       Lift-Error
    2.802000e+03     7.885082e-02     2.317459e-03     1.167965e-03
    2.202000e+03     5.065667e-01     1.988516e-03     1.260188e-03
    2.166000e+03     8.327293e-01     7.932974e-04     8.402765e-04
    2.106000e+03     1.172405e+00     4.652454e-04     2.448833e-03
    2.154000e+03     1.464967e+00     3.794226e-04     2.956034e-03
    2.136000e+03     1.763676e+00     2.211841e-04     2.312153e-03
    2.124000e+03     2.065457e+00     1.506526e-04     2.109578e-04
    2.124000e+03     2.073190e+00     1.506526e-04     2.109578e-04
    2.964000e+03     2.414239e+00     1.043288e-04     6.826262e-04
    3.816000e+03     2.894987e+00     6.495168e-05     3.717116e-04
    4.002000e+03     3.491679e+00     5.602209e-05     3.481385e-04
    4.056000e+03     4.100570e+00     5.280689e-05     5.998725e-05
    4.056000e+03     4.703546e+00     4.648142e-05     4.394535e-04
    4.026000e+03     5.351382e+00     4.130448e-05     2.309464e-04
    4.026000e+03     5.366159e+00     4.130448e-05     2.309464e-04
    6.132000e+03     6.161859e+00     2.172513e-05     7.881568e-05
    7.836000e+03     7.401008e+00     1.419767e-05     5.687489e-06
    8.046000e+03     8.933332e+00     1.049642e-05     8.839448e-06
    7.914000e+03     1.051390e+01     1.128816e-05     7.460572e-06
    7.860000e+03     1.203532e+01     8.476368e-06     5.440703e-05
    7.866000e+03     1.360678e+01     1.009744e-05     2.512856e-05
    7.866000e+03     1.363513e+01     1.009744e-05     2.512856e-05
    1.224000e+04     1.561957e+01     4.388036e-06     1.835017e-05
    1.545600e+04     1.894472e+01     3.107648e-06     5.605703e-06
    1.572600e+04     2.303590e+01     2.909793e-06     4.490949e-06
    1.588200e+04     2.723287e+01     2.509930e-06     9.278977e-07
    1.575000e+04     3.156733e+01     2.153943e-06     2.848861e-06
    1.559400e+04     3.605811e+01     2.190195e-06     3.034369e-06
    1.559400e+04     3.611415e+01     2.190195e-06     3.034369e-06
    2.463000e+04     4.133603e+01     1.024216e-06     3.619185e-07
    3.132000e+04     5.062232e+01     5.929428e-07     2.424386e-07
    3.122400e+04     6.217686e+01     4.970661e-07     4.268034e-07
    3.145200e+04     7.533672e+01     4.028368e-07     4.461603e-07
    3.136200e+04     9.081347e+01     4.017003e-07     2.108422e-07
    3.148800e+04     1.068128e+02     3.785903e-07     4.867040e-08
