%            DOF       Work Units       Drag-Error       Lift-Error
    8.192000e+03     2.153761e+00     4.936659e-03     5.051341e-14
    9.727000e+03     5.361786e+00     3.220861e-04     1.304886e-08
    1.150200e+04     9.512585e+00     3.493489e-05     2.135445e-14
    1.334100e+04     1.457813e+01     1.078395e-05     1.349556e-06
    1.529200e+04     1.863551e+01     3.945011e-06     1.139771e-07
    1.723500e+04     2.608696e+01     1.069726e-06     9.114750e-08
    1.933400e+04     3.811667e+01     8.716878e-07     5.542806e-08
    2.163100e+04     5.377936e+01     2.118375e-07     2.851825e-08
    2.397400e+04     8.041155e+01     3.655633e-09     1.148251e-08
    2.641700e+04     9.229059e+01     1.504537e-08     7.437600e-09
    2.897200e+04     1.080897e+02     6.553741e-09     3.986853e-08
