%            DOF       Work Units       Drag-Error       Lift-Error
    4.608000e+03     1.200402e+00     2.613600e-03     7.797235e-14
    5.985000e+03     3.580551e+00     4.637488e-04     1.464275e-05
    7.821000e+03     8.011369e+00     6.597029e-05     6.634493e-05
    1.025100e+04     1.473797e+01     2.317144e-05     4.515138e-06
    1.333800e+04     2.472438e+01     1.154996e-05     2.493247e-06
    1.744200e+04     3.366152e+01     7.345816e-06     8.141039e-07
    2.281500e+04     4.771584e+01     4.075990e-06     1.094303e-07
    2.980800e+04     6.600247e+01     2.487758e-06     3.628178e-06
    3.889800e+04     9.017953e+01     1.400031e-06     2.716466e-06
    5.074200e+04     1.283697e+02     9.335168e-07     4.220695e-08
    6.636600e+04     1.872505e+02     5.862193e-07     2.414242e-07
