%            DOF       Work Units       Drag-Error       Lift-Error
    1.401000e+03     7.929289e-02     1.107756e-02     1.622925e-02
    2.019000e+03     4.125592e-01     2.305068e-03     2.834797e-03
    2.079000e+03     1.054809e+00     1.778470e-03     3.708626e-04
    2.019000e+03     1.584612e+00     1.315365e-03     1.800557e-04
    2.007000e+03     2.073509e+00     1.426028e-03     6.853053e-04
    2.037000e+03     2.452741e+00     1.143309e-03     3.480357e-03
    2.040000e+03     2.764368e+00     1.288568e-03     1.662215e-03
    2.040000e+03     2.771476e+00     1.288568e-03     1.662215e-03
    3.171000e+03     3.165414e+00     7.514002e-04     1.645870e-03
    4.035000e+03     3.865246e+00     5.205888e-04     2.783332e-03
    4.008000e+03     4.777743e+00     5.145927e-04     2.098674e-03
    3.954000e+03     5.696270e+00     4.496031e-04     2.231985e-03
    3.954000e+03     6.605460e+00     4.706054e-04     1.030099e-03
    3.969000e+03     7.468461e+00     4.407873e-04     5.433759e-04
    3.969000e+03     7.482034e+00     4.407873e-04     5.433759e-04
    5.388000e+03     8.522118e+00     3.150520e-04     1.745677e-04
    7.614000e+03     1.026168e+01     1.825313e-04     4.779717e-04
    7.842000e+03     1.316733e+01     1.709899e-04     7.889053e-04
    7.884000e+03     1.634450e+01     1.457979e-04     3.352839e-05
    7.941000e+03     1.951101e+01     1.611668e-04     3.200724e-05
    7.920000e+03     2.257481e+01     1.495405e-04     9.013827e-04
    7.920000e+03     2.260171e+01     1.495405e-04     9.013827e-04
    1.245300e+04     2.632809e+01     9.150891e-05     3.018805e-04
    1.566900e+04     3.575509e+01     6.643549e-05     1.451279e-04
    1.581000e+04     4.643262e+01     6.178329e-05     1.289159e-04
    1.577400e+04     5.694380e+01     5.438047e-05     3.244060e-05
    1.573800e+04     6.749506e+01     5.802608e-05     1.031536e-04
    1.567800e+04     7.831682e+01     5.628416e-05     1.430009e-05
    1.567800e+04     7.836887e+01     5.628416e-05     1.430009e-05
    2.436000e+04     9.553510e+01     3.350831e-05     4.102858e-05
    3.108900e+04     1.225242e+02     2.617328e-05     4.846357e-05
    3.144300e+04     1.602255e+02     2.304528e-05     1.123942e-04
    3.172200e+04     1.969566e+02     2.337970e-05     4.141666e-06
    3.161400e+04     2.348558e+02     2.046833e-05     1.376860e-05
    3.153000e+04     2.725844e+02     2.130666e-05     4.792944e-07
