VARIABLES="N"	"C<sub>d</sub>"	"1/sqrt(DOF)"	"C<sub>d</sub> Error"	"Work Units"
ZONE T="Slope 2"
0	0	0.0220970869	1.47E-002	0
0	0	0.0009765625	2.86892231708631E-05	0

ZONE T="Slope 3"
0	0	0.0132582521	3.02E-003	0
0	0	0.0005859375	2.6056752059198E-07	0

ZONE T="Slope 4"
0	0	0.0147313913	2.31E-003	0
0	0	0.0006510417	8.80994128638802E-09	0

ZONE T="Slope 5"
0	0	0.0099436891	4.93E-004 0
0	0	0.0012429611	0.000000015 0

ZONE T="Slope 6"
0	0	0.0110485435	4.07E-004	0
0	0	0.0013810679	1.55210937485436E-09	0

ZONE T="Slope 8"
0	0	0.0088388348	2.90E-005	0
0	0	0.0022097087	4.41862957464893E-10	0


ZONE T="Fluent Tri FV P1"
512	0.060282	0.0441941738	0.0498494434	50.6522698149
2048	0.026931	0.0220970869	0.0164984434	117.0581686028
8192	0.013444	0.0110485435	0.0030114434	230.2342289352
32768	0.011035	0.0055242717	0.0006024434	206.3365754259
131072	0.01071	0.0027621359	0.0002774434	347.3831481209
524288	0.010672	0.0013810679	0.0002394434	2107.7831229124
2097152	0.010668	0.000690534	0.0002354434	17645.9466840325


ZONE T="Star CCM Tri FV P1"
8352	0.0353667537	0.0109422027	0.0249341971	5837.2471512101
32768	0.0109200663	0.0055242717	0.0004875097	151766.857491191
131712	0.0102645414	0.002755417	0.0001680152	1219530.51500581


ZONE T="Fun3D Quad FV P1"
0	0	0	0	0

ZONE T="Fun3D Tri FV P1"
0	0	0	0	0

ZONE T="USM3D Quad FV P1"
0	0	0	0	0

ZONE T="ANSLib Tri FV P1"
12288	0.0209688412	0.009021098	0.0105362846	0
49152	0.0121481407	0.004510549	0.001715584	0
196608	0.0106592988	0.0022552745	0.0002267422	0

ZONE T="ANSLib Tri FV P2"
12288	0.0123358414	0.009021098	0.0019032848	0
49152	0.0104751632	0.004510549	4.26065942518306E-05	0
196608	0.0104616251	0.0022552745	2.90684471458361E-05	0

