%            DOF       Work Units            Error
    1.920000e+02     7.743505e-03     1.424777e-03
    2.760000e+02     2.396887e-02     5.321618e-04
    3.960000e+02     4.837412e-02     1.153839e-04
    5.640000e+02     8.657649e-02     4.552080e-05
    8.160000e+02     1.530879e-01     2.404109e-05
    1.176000e+03     2.611403e-01     1.482766e-05
    1.704000e+03     4.456687e-01     8.937076e-06
    2.460000e+03     7.661920e-01     5.635674e-06
    3.564000e+03     1.314712e+00     3.834175e-06
    5.160000e+03     2.264499e+00     2.514676e-06
    7.476000e+03     3.588102e+00     1.568068e-06
