%            DOF       Work Units            Error
    7.200000e+01     1.974742e-03     4.604963e-03
    8.400000e+01     5.558866e-03     4.603851e-03
    1.290000e+02     1.070175e-02     3.523766e-03
    1.920000e+02     1.874206e-02     1.805131e-03
    1.890000e+02     2.747918e-02     7.846974e-04
    2.220000e+02     3.669845e-02     2.468939e-04
    2.220000e+02     3.716649e-02     2.468939e-04
    3.120000e+02     4.800392e-02     1.457113e-04
    4.380000e+02     6.408732e-02     8.011085e-05
    6.420000e+02     8.746093e-02     4.197965e-05
    7.320000e+02     1.163849e-01     3.540922e-05
    7.290000e+02     1.426976e-01     3.439883e-05
    7.290000e+02     1.436870e-01     3.439883e-05
    1.203000e+03     1.905159e-01     2.246938e-05
    1.755000e+03     2.605459e-01     1.234347e-05
    2.469000e+03     3.866448e-01     6.449330e-06
    3.216000e+03     5.647721e-01     4.550619e-06
    3.075000e+03     7.475335e-01     4.755893e-06
    3.075000e+03     7.510920e-01     4.755893e-06
    4.215000e+03     9.926526e-01     3.341002e-06
    5.760000e+03     1.368199e+00     2.300403e-06
    7.821000e+03     2.007378e+00     1.487607e-06
    1.062900e+04     2.767296e+00     9.892255e-07
    1.284000e+04     3.822082e+00     7.317976e-07
