%            DOF       Work Units            Error
    2.400000e+02     1.967216e-03     2.187888e-03
    1.900000e+02     1.216464e-02     2.450171e-03
    2.100000e+02     3.031443e-02     3.044442e-04
    1.900000e+02     4.614206e-02     2.462200e-04
    2.200000e+02     6.188381e-02     1.799854e-04
    2.400000e+02     7.545412e-02     1.349787e-04
    2.400000e+02     7.615175e-02     1.349787e-04
    3.600000e+02     9.646639e-02     1.509844e-05
    5.800000e+02     1.249405e-01     7.354639e-06
    8.700000e+02     1.680623e-01     1.580930e-06
    8.200000e+02     2.214627e-01     1.367700e-06
    8.100000e+02     2.658956e-01     1.063363e-06
    8.100000e+02     2.675165e-01     1.063363e-06
    1.170000e+03     3.368703e-01     7.329518e-07
    1.800000e+03     4.421878e-01     3.114585e-07
    2.680000e+03     6.238882e-01     1.259502e-07
    3.000000e+03     8.393105e-01     1.199248e-07
    3.060000e+03     1.056795e+00     1.115632e-07
    3.060000e+03     1.062008e+00     1.115632e-07
    4.830000e+03     1.362747e+00     4.578934e-08
    7.180000e+03     1.860281e+00     2.733602e-08
    1.063000e+04     2.694352e+00     1.062723e-08
    1.208000e+04     3.831478e+00     6.896708e-09
    1.237000e+04     4.883578e+00     6.354696e-09
