VARIABLES="1/sqrt(DOF)", "Entropy Error", "Work Units", "Time (s)"	
ZONE T = "NUDT MUSCL Quad P1"
7.22E-02	1.85000000E-03	2.60000000E-01	1.3
3.61E-02	4.99000000E-04	2.29000000E+00	11.45
1.80E-02	8.94000000E-05	2.22100000E+01	111.05
9.02E-03	1.41000000E-05	2.55390000E+02	1276.95
4.51E-03	2.24000000E-06	2.72625000E+03	13631.25
2.26E-03	3.73000000E-07	2.99408900E+04	149704.45

ZONE T = "NUDT WCNS-E-5 Quad P4"
0.072169	6.58000000E-04	3.10000000E-01	1.55
0.036084	4.25000000E-05	2.78000000E+00	13.9
0.018042	1.82000000E-06	3.88800000E+01	194.4
0.009021	6.29000000E-08	3.91770000E+02	1958.85
0.004511	2.13000000E-09	3.34342000E+03	16717.1
0.002255	7.54000000E-11	3.22764200E+04	161382.1
