VARIABLES="1/sqrt(DOF)", "Entropy Error", "Work Units", "Time (s)"	
ZONE T = "UM DG Quad P0"
0.2886751346	2.62906000E-03	8.38350500E-04	0.0041917525
0.1443375673	3.82454300E-03	1.95010300E-03	0.009750515
0.0721687836	4.08738700E-03	5.68948500E-03	0.028447425
0.0360843918	3.71416300E-03	2.75385600E-02	0.1376928
0.0180421959	2.54692100E-03	1.49852700E-01	0.7492635

ZONE T = "UM DG Quad P1"
0.1443375673	3.65431800E-03	2.17659800E-03	0.01088299
0.0721687836	1.42477700E-03	6.16072200E-03	0.03080361
0.0360843918	6.03800500E-04	2.29892800E-02	0.1149464
0.0180421959	1.40577800E-04	1.21025300E-01	0.6051265
0.009021098	2.83010000E-05	8.38277000E-01	4.191385

ZONE T = "UM DG Quad P2"
0.0962250449	1.15794600E-03	6.71319600E-03	0.03356598
0.0481125224	4.31085900E-04	2.56043300E-02	0.12802165
0.0240562612	5.69698500E-05	1.09946000E-01	0.54973
0.0120281306	7.05944000E-06	5.73969600E-01	2.869848
0.0060140653	8.67840900E-07	3.35630600E+00	16.78153

ZONE T = "UM DG Quad P3"
0.0721687836	6.86612900E-04	1.91210300E-02	0.09560515
0.0360843918	9.24550200E-05	1.02709900E-01	0.5135495
0.0180421959	7.64755100E-06	5.12510300E-01	2.5625515
0.009021098	3.81648200E-07	3.06403700E+00	15.320185
0.004510549	3.06520600E-08	2.86095000E+01	143.0475

ZONE T = "UM DG Quad P4"
0.0577350269	1.11430900E-04	7.10389700E-02	0.35519485
0.0288675135	3.94884400E-05	2.84862700E-01	1.4243135
0.0144337567	5.07105700E-07	1.31851300E+00	6.592565
0.0072168784	6.37469700E-08	6.62075200E+00	33.10376
0.0036084392	1.84005400E-09	4.43588500E+01	221.79425

ZONE T = "UM DG Tri P0"
0.2041241452	2.42363500E-03	1.14257700E-03	0.005712885
0.1020620726	3.97602500E-03	3.61618600E-03	0.01808093
0.0510310363	3.62648600E-03	1.58322700E-02	0.07916135
0.0255155182	2.73520400E-03	4.25290700E-02	0.21264535
0.0127577591	1.64824100E-03	2.16630300E-01	1.0831515
0.0063788795	8.92199200E-04	1.96353200E+00	9.81766


ZONE T = "UM DG Tri P1"
0.1178511302	4.60496300E-03	2.77628900E-03	0.013881445
0.0589255651	3.24895600E-03	9.21824700E-03	0.046091235
0.0294627825	1.12069400E-03	6.17954600E-02	0.3089773
0.0147313913	2.53352100E-04	1.72431500E-01	0.8621575
0.0073656956	5.17009200E-05	1.30493900E+00	6.524695
0.0036828478	9.90828300E-06	1.20238500E+01	60.11925


ZONE T = "UM DG Tri P2"
0.0833333333	3.51383200E-03	6.57577300E-03	0.032878865
0.0416666667	1.31283900E-03	2.12319600E-02	0.1061598
0.0208333333	1.82277600E-04	1.50793800E-01	0.753969
0.0104166667	1.57221700E-05	4.60228800E-01	2.301144
0.0052083333	1.52944800E-06	2.85457600E+00	14.27288
0.0026041667	1.54007200E-07	2.13475100E+01	106.73755


ZONE T = "UM DG Tri P3"
0.0645497224	2.18788800E-03	1.62168000E-02	0.081084
0.0322748612	2.83012200E-04	5.87670100E-02	0.29383505
0.0161374306	1.09437300E-05	3.95969800E-01	1.979849
0.0080687153	1.42706000E-06	1.35343000E+00	6.76715
0.0040343577	1.21569200E-07	7.18692000E+00	35.9346
0.0020171788	7.63439500E-09	4.86841700E+01	243.42085


ZONE T = "UM DG Tri P4"
0.0527046277	7.87532700E-04	3.96771100E-02	0.19838555
0.0263523138	6.97287900E-05	1.61180700E-01	0.8059035
0.0131761569	6.14629900E-06	9.21791200E-01	4.608956
0.0065880785	2.42625800E-07	3.48582200E+00	17.42911
0.0032940392	3.75171900E-09	1.34377900E+01	67.18895
0.0016470196	4.79645500E-10	7.41949600E+01	370.9748

