%            DOF       Work Units            Error
    1.920000e+02     5.302062e-03     3.736653e-03
    3.060000e+02     2.205423e-02     2.237779e-03
    4.440000e+02     4.431629e-02     1.249792e-04
    5.880000e+02     8.134577e-02     2.031463e-05
    7.540000e+02     1.367618e-01     5.417548e-06
    9.160000e+02     2.116070e-01     2.233266e-06
    1.090000e+03     2.879929e-01     1.332896e-06
    1.288000e+03     3.862209e-01     7.424111e-07
    1.464000e+03     5.096765e-01     5.667146e-07
    1.652000e+03     6.601564e-01     5.044898e-07
    1.884000e+03     8.438378e-01     1.896470e-07
    2.134000e+03     1.052858e+00     9.971643e-08
    2.380000e+03     1.306620e+00     8.762527e-08
    2.644000e+03     1.604101e+00     4.420554e-08
    2.938000e+03     1.963451e+00     3.706130e-08
    3.238000e+03     2.408262e+00     1.439493e-08
    3.564000e+03     2.897339e+00     9.518351e-09
    3.926000e+03     3.325579e+00     9.518143e-09
    4.312000e+03     4.147753e+00     3.120775e-09
    4.704000e+03     5.222984e+00     2.613729e-09
    5.094000e+03     6.563643e+00     1.521546e-09
    5.094000e+03     7.239731e+00     1.529911e-09
