%            DOF       Work Units            Error
    7.680000e+02     9.846794e-02     9.245502e-05
    1.104000e+03     2.561049e-01     6.974650e-06
    1.584000e+03     4.753919e-01     4.126073e-07
    2.256000e+03     8.289341e-01     2.175660e-07
    3.264000e+03     1.237108e+00     7.319044e-08
    4.704000e+03     1.934872e+00     3.533098e-08
    6.816000e+03     2.999546e+00     2.005562e-08
    9.840000e+03     4.707053e+00     8.564372e-09
    1.425600e+04     7.404147e+00     3.684138e-09
    2.064000e+04     1.202617e+01     1.905312e-09
    2.990400e+04     1.956477e+01     9.772496e-10
