%            DOF       Work Units            Error
    3.600000e+02     1.964124e-03     7.875306e-04
    2.400000e+02     1.703330e-02     2.264210e-03
    1.950000e+02     3.811639e-02     4.209402e-03
    2.250000e+02     7.552186e-02     1.213359e-03
    2.100000e+02     1.067024e-01     6.485727e-05
    2.250000e+02     1.292945e-01     8.631180e-05
    2.250000e+02     1.302045e-01     8.631180e-05
    3.600000e+02     1.567489e-01     1.937673e-05
    6.000000e+02     2.005371e-01     5.650027e-06
    7.350000e+02     2.621858e-01     1.124826e-06
    7.800000e+02     3.236326e-01     1.367102e-06
    8.400000e+02     3.916646e-01     7.205346e-07
    8.400000e+02     3.943624e-01     7.205346e-07
    1.365000e+03     4.853985e-01     5.310338e-07
    2.100000e+03     6.381756e-01     1.791002e-07
    3.030000e+03     8.976984e-01     3.003399e-08
    3.105000e+03     1.242315e+00     2.240094e-08
    3.105000e+03     1.570630e+00     2.833757e-08
    3.105000e+03     1.579611e+00     2.833757e-08
    4.530000e+03     2.008472e+00     9.705056e-09
    6.930000e+03     2.520816e+00     5.374891e-09
    1.041000e+04     3.347715e+00     3.702243e-09
    1.278000e+04     4.551389e+00     2.533036e-09
    1.269000e+04     5.983032e+00     1.751698e-09
