VARIABLES="1/sqrt(DOF)", "Entropy Error", "Work Units", "Time (s)"	
ZONE T = "MIT DG Quad P0"
0.2886751346	0.003684802	0.0175036473	0.0875182367
0.1443375673	0.0038071544	0.0514741548	0.2573707742
0.0721687836	0.0040704674	0.1308770884	0.654385442
0.0360843918	0.0037097468	0.6554722723	3.2773613617
0.0180421959	0.0025470913	2.9247743352	14.6238716762

ZONE T = "MIT DG Quad P1"
0.1443375673	0.003684802	0.0261524825	0.1307624127
0.0721687836	0.0013648778	0.0822492745	0.4112463723
0.0360843918	0.0005677141	0.2697046043	1.3485230214
0.0180421959	0.0001340678	1.3382139776	6.6910698878
0.009021098	0.000027005	9.0292932779	45.1464663895

ZONE T = "MIT DG Quad P2"
0.0962250449	0.0011517158	0.0466218527	0.2331092635
0.0481125224	0.0004007088	0.1506292258	0.7531461291
0.0240562612	5.46804515797984E-05	0.6022202526	3.0111012628
0.0120281306	7.44113993227615E-06	3.2132350773	16.0661753863
0.0060140653	9.08084711263388E-07	27.0390620441	135.1953102204

ZONE T = "MIT DG Quad P3"
0.0721687836	0.0006853625	0.0889734097	0.4448670484
0.0360843918	8.63702407376717E-05	0.3303385364	1.6516926818
0.0180421959	7.50139696432248E-06	1.4915893011	7.4579465056
0.009021098	3.85792304974279E-07	11.5898955212	57.9494776061
0.004510549	2.7933977984114E-08	60.872243627	304.3612181348

ZONE T = "MIT DG Quad P4"
0.0577350269	0.000110443	0.1804982352	0.9024911758
0.0288675135	3.80832108505453E-05	0.7886494627	3.9432473135
0.0144337567	4.69494240431941E-07	3.6432967292	18.2164836458
0.0072168784	5.53615461715326E-08	19.9965100008	99.9825500039
0.0036084392	1.55335596802091E-09	127.765717468	638.8285873402
