VARIABLES="1/sqrt(DOF)", "Entropy Error", "Work Units", "Time (s)"	
ZONE T = "UM DG Quad P0"
0.2886751346	2.62906000E-03	8.38350500E-04	0.0041917525
0.1443375673	3.82454300E-03	1.95010300E-03	0.009750515
0.0721687836	4.08738700E-03	5.68948500E-03	0.028447425
0.0360843918	3.71416300E-03	2.75385600E-02	0.1376928
0.0180421959	2.54692100E-03	1.49852700E-01	0.7492635

ZONE T = "UM DG Quad P1"
0.1443375673	3.65431800E-03	2.17659800E-03	0.01088299
0.0721687836	1.42477700E-03	6.16072200E-03	0.03080361
0.0360843918	6.03800500E-04	2.29892800E-02	0.1149464
0.0180421959	1.40577800E-04	1.21025300E-01	0.6051265
0.009021098	2.83010000E-05	8.38277000E-01	4.191385

ZONE T = "UM DG Quad P2"
0.0962250449	1.15794600E-03	6.71319600E-03	0.03356598
0.0481125224	4.31085900E-04	2.56043300E-02	0.12802165
0.0240562612	5.69698500E-05	1.09946000E-01	0.54973
0.0120281306	7.05944000E-06	5.73969600E-01	2.869848
0.0060140653	8.67840900E-07	3.35630600E+00	16.78153

ZONE T = "UM DG Quad P3"
0.0721687836	6.86612900E-04	1.91210300E-02	0.09560515
0.0360843918	9.24550200E-05	1.02709900E-01	0.5135495
0.0180421959	7.64755100E-06	5.12510300E-01	2.5625515
0.009021098	3.81648200E-07	3.06403700E+00	15.320185
0.004510549	3.06520600E-08	2.86095000E+01	143.0475

ZONE T = "UM DG Quad P4"
0.0577350269	1.11430900E-04	7.10389700E-02	0.35519485
0.0288675135	3.94884400E-05	2.84862700E-01	1.4243135
0.0144337567	5.07105700E-07	1.31851300E+00	6.592565
0.0072168784	6.37469700E-08	6.62075200E+00	33.10376
0.0036084392	1.84005400E-09	4.43588500E+01	221.79425

ZONE T = "UM DG Tri P0"
0.2886751346	2.62906000E-03	8.38350500E-04	0.0041917525
0.1443375673	3.82454300E-03	1.95010300E-03	0.009750515
0.0721687836	4.08738700E-03	5.68948500E-03	0.028447425
0.0360843918	3.71416300E-03	2.75385600E-02	0.1376928
0.0180421959	2.54692100E-03	1.49852700E-01	0.7492635

ZONE T = "UM DG Tri P1"
0.1443375673	3.65431800E-03	2.17659800E-03	0.01088299
0.0721687836	1.42477700E-03	6.16072200E-03	0.03080361
0.0360843918	6.03800500E-04	2.29892800E-02	0.1149464
0.0180421959	1.40577800E-04	1.21025300E-01	0.6051265
0.009021098	2.83010000E-05	8.38277000E-01	4.191385

ZONE T = "UM DG Tri P2"
0.0962250449	1.15794600E-03	6.71319600E-03	0.03356598
0.0481125224	4.31085900E-04	2.56043300E-02	0.12802165
0.0240562612	5.69698500E-05	1.09946000E-01	0.54973
0.0120281306	7.05944000E-06	5.73969600E-01	2.869848
0.0060140653	8.67840900E-07	3.35630600E+00	16.78153

ZONE T = "UM DG Tri P3"
0.0721687836	6.86612900E-04	1.91210300E-02	0.09560515
0.0360843918	9.24550200E-05	1.02709900E-01	0.5135495
0.0180421959	7.64755100E-06	5.12510300E-01	2.5625515
0.009021098	3.81648200E-07	3.06403700E+00	15.320185
0.004510549	3.06520600E-08	2.86095000E+01	143.0475

ZONE T = "UM DG Tri P4"
0.0577350269	1.11430900E-04	7.10389700E-02	0.35519485
0.0288675135	3.94884400E-05	2.84862700E-01	1.4243135
0.0144337567	5.07105700E-07	1.31851300E+00	6.592565
0.0072168784	6.37469700E-08	6.62075200E+00	33.10376
0.0036084392	1.84005400E-09	4.43588500E+01	221.79425
